"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"62",19.89,0.851648351648352,0.875,"ca125",0.928571428571429,0.954545454545455,0.85,"Stage I"
"63",77.35,0.851648351648352,0.6875,"he4",0.642857142857143,1,0.85,"Stage I"
"64",0.119693767772097,0.802197802197802,0.9375,"Screening DELFI+CA125+HE4",0.928571428571429,0.909090909090909,0.8,"Stage I"
"65",18.035,0.802197802197802,0.90625,"ca125",0.928571428571429,0.954545454545455,0.8,"Stage I"
"66",71.025,0.802197802197802,0.71875,"he4",0.714285714285714,0.909090909090909,0.8,"Stage I"
"67",0.105953537839969,0.752747252747253,0.9375,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"Stage I"
"68",16.885,0.752747252747253,0.90625,"ca125",0.928571428571429,0.909090909090909,0.75,"Stage I"
"69",64.985,0.752747252747253,0.8125,"he4",0.714285714285714,0.909090909090909,0.75,"Stage I"
"70",0.0914161768107754,0.703296703296703,0.9375,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"Stage I"
"71",16.05,0.703296703296703,0.90625,"ca125",0.928571428571429,0.909090909090909,0.7,"Stage I"
"72",60.42,0.703296703296703,0.8125,"he4",0.785714285714286,0.863636363636364,0.7,"Stage I"
"73",0.655097700609212,1,0.692307692307692,"Screening DELFI+CA125+HE4",0.8,1,1,"Stage II"
"74",128.5,1,0.615384615384615,"ca125",0.6,1,1,"Stage II"
"75",212.8,1,0.269230769230769,"he4",0.2,1,1,"Stage II"
"76",0.516246620912448,0.994505494505495,0.769230769230769,"Screening DELFI+CA125+HE4",0.8,1,0.99,"Stage II"
"77",49.925,0.994505494505495,0.653846153846154,"ca125",0.8,1,0.99,"Stage II"
"78",199,0.994505494505495,0.307692307692308,"he4",0.2,1,0.99,"Stage II"
"79",0.269727834895655,0.950549450549451,0.846153846153846,"Screening DELFI+CA125+HE4",1,1,0.95,"Stage II"
"80",26.005,0.950549450549451,0.807692307692308,"ca125",0.8,0.954545454545455,0.95,"Stage II"
"81",110.9,0.950549450549451,0.615384615384615,"he4",0.6,1,0.95,"Stage II"
"82",0.18589117226155,0.901098901098901,0.884615384615385,"Screening DELFI+CA125+HE4",1,1,0.9,"Stage II"
"83",23.375,0.906593406593407,0.807692307692308,"ca125",0.8,0.954545454545455,0.9,"Stage II"
"84",85.27,0.901098901098901,0.692307692307692,"he4",0.6,1,0.9,"Stage II"
"85",0.152066501312613,0.851648351648352,0.923076923076923,"Screening DELFI+CA125+HE4",1,1,0.85,"Stage II"
"86",19.89,0.851648351648352,0.884615384615385,"ca125",1,0.954545454545455,0.85,"Stage II"
"87",77.35,0.851648351648352,0.692307692307692,"he4",0.6,1,0.85,"Stage II"
"88",0.119693767772097,0.802197802197802,0.923076923076923,"Screening DELFI+CA125+HE4",1,0.909090909090909,0.8,"Stage II"
"89",18.035,0.802197802197802,0.884615384615385,"ca125",1,0.954545454545455,0.8,"Stage II"
"90",71.025,0.802197802197802,0.730769230769231,"he4",0.8,0.909090909090909,0.8,"Stage II"
