"","threshold","specificity","sensitivity","model","val_sens","val_spec","set_specificity","set"
"61",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",1,1,0.85,"Stage II HGSOC"
"62",19.89,0.851648351648352,1,"ca125",1,0.954545454545455,0.85,"Stage II HGSOC"
"63",77.35,0.851648351648352,1,"he4",0.5,1,0.85,"Stage II HGSOC"
"64",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",1,0.909090909090909,0.8,"Stage II HGSOC"
"65",18.035,0.802197802197802,1,"ca125",1,0.954545454545455,0.8,"Stage II HGSOC"
"66",71.025,0.802197802197802,1,"he4",1,0.909090909090909,0.8,"Stage II HGSOC"
"67",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"Stage II HGSOC"
"68",16.885,0.752747252747253,1,"ca125",1,0.909090909090909,0.75,"Stage II HGSOC"
"69",64.985,0.752747252747253,1,"he4",1,0.909090909090909,0.75,"Stage II HGSOC"
"70",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"Stage II HGSOC"
"71",16.05,0.703296703296703,1,"ca125",1,0.909090909090909,0.7,"Stage II HGSOC"
"72",60.42,0.703296703296703,1,"he4",1,0.863636363636364,0.7,"Stage II HGSOC"
"73",0.655097700609212,1,0.91304347826087,"Screening DELFI+CA125+HE4",0.8,1,1,"Stage III HGSOC"
"74",128.5,1,0.652173913043478,"ca125",0.8,1,1,"Stage III HGSOC"
"75",212.8,1,0.739130434782609,"he4",0.6,1,1,"Stage III HGSOC"
"76",0.516246620912448,0.994505494505495,0.91304347826087,"Screening DELFI+CA125+HE4",0.8,1,0.99,"Stage III HGSOC"
"77",49.925,0.994505494505495,0.91304347826087,"ca125",0.8,1,0.99,"Stage III HGSOC"
"78",199,0.994505494505495,0.782608695652174,"he4",0.6,1,0.99,"Stage III HGSOC"
"79",0.269727834895655,0.950549450549451,0.91304347826087,"Screening DELFI+CA125+HE4",1,1,0.95,"Stage III HGSOC"
"80",26.005,0.950549450549451,1,"ca125",0.8,0.954545454545455,0.95,"Stage III HGSOC"
"81",110.9,0.950549450549451,0.91304347826087,"he4",1,1,0.95,"Stage III HGSOC"
"82",0.18589117226155,0.901098901098901,0.956521739130435,"Screening DELFI+CA125+HE4",1,1,0.9,"Stage III HGSOC"
"83",23.375,0.906593406593407,1,"ca125",0.8,0.954545454545455,0.9,"Stage III HGSOC"
"84",85.27,0.901098901098901,0.956521739130435,"he4",1,1,0.9,"Stage III HGSOC"
"85",0.152066501312613,0.851648351648352,1,"Screening DELFI+CA125+HE4",1,1,0.85,"Stage III HGSOC"
"86",19.89,0.851648351648352,1,"ca125",0.8,0.954545454545455,0.85,"Stage III HGSOC"
"87",77.35,0.851648351648352,0.956521739130435,"he4",1,1,0.85,"Stage III HGSOC"
"88",0.119693767772097,0.802197802197802,1,"Screening DELFI+CA125+HE4",1,0.909090909090909,0.8,"Stage III HGSOC"
"89",18.035,0.802197802197802,1,"ca125",0.8,0.954545454545455,0.8,"Stage III HGSOC"
"90",71.025,0.802197802197802,1,"he4",1,0.909090909090909,0.8,"Stage III HGSOC"
"91",0.105953537839969,0.752747252747253,1,"Screening DELFI+CA125+HE4",1,0.818181818181818,0.75,"Stage III HGSOC"
"92",16.885,0.752747252747253,1,"ca125",0.8,0.909090909090909,0.75,"Stage III HGSOC"
"93",64.985,0.752747252747253,1,"he4",1,0.909090909090909,0.75,"Stage III HGSOC"
"94",0.0914161768107754,0.703296703296703,1,"Screening DELFI+CA125+HE4",1,0.681818181818182,0.7,"Stage III HGSOC"
